identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area
bs056,N,bs056_N_N_3.lm3,0.538,1.4195,1.0688,1.457,0.6785,1.0112,1.5786,1.0435,0.8232,2.798,1.0,0.6301,0.3931,0.7032,1.0,0.5435,0.5317,1.1832,1.7453,1.0,0.5112,3.8016
bs057,N,bs057_N_N_0.lm3,0.4792,1.6916,1.444,2.0449,1.0534,0.9421,1.4622,1.0567,0.915,2.9393,1.0,0.3677,0.4,0.4769,1.0,0.6836,0.6754,1.5608,0.7238,1.0,0.0959,3.6036
bs057,N,bs057_N_N_1.lm3,0.6013,1.7178,1.3457,1.9862,1.0423,0.8962,1.383,1.0496,0.962,2.9464,1.0,0.4443,0.4233,0.495,1.0,0.6787,0.7107,1.7354,1.5048,1.0,0.5358,3.752
bs057,N,bs057_N_N_2.lm3,0.5632,1.7215,1.4162,2.0333,1.0151,0.9069,1.3688,1.0066,0.9168,2.9004,1.0,0.3003,0.3649,0.434,1.0,0.6828,0.6208,1.3729,0.7268,1.0,0.3918,3.4028
bs057,N,bs057_N_N_3.lm3,0.6266,1.7432,1.3113,1.9611,1.0546,0.9814,1.3266,0.9804,0.9591,2.9201,1.0,0.2339,0.5337,0.4396,1.0,0.7973,0.739,2.3863,1.0748,1.0,0.7088,3.7435
bs058,N,bs058_N_N_0.lm3,0.6844,1.9506,1.4772,2.0479,0.9724,1.1168,1.7444,1.0099,1.166,3.1194,1.0,0.3524,0.4641,0.6878,1.0,0.7501,0.658,1.7568,1.2785,1.0,1.7337,3.9124
bs058,N,bs058_N_N_1.lm3,0.6968,2.0983,1.6107,2.3899,1.2247,1.2214,2.1079,1.3699,1.4298,3.6659,1.0,0.7633,0.5172,0.9003,1.0,0.7291,0.862,2.0198,2.8468,1.0,0.3456,4.7719
bs058,N,bs058_N_N_2.lm3,0.4431,1.9124,1.5689,2.1283,1.0553,1.141,1.8477,1.2493,1.208,3.3051,1.0,0.8059,0.486,0.773,1.0,0.737,0.7581,3.0093,4.4289,1.0,1.5434,4.56
bs058,N,bs058_N_N_3.lm3,0.7608,2.0018,1.4477,2.141,1.1053,1.1661,1.9993,1.2722,1.2322,3.4119,1.0,0.5908,0.5206,0.8644,1.0,0.7104,0.7736,1.9543,1.7473,1.0,0.0896,4.4598
bs059,N,bs059_N_N_0.lm3,0.655,1.9645,1.522,1.8773,0.8193,1.3699,1.5976,1.0193,1.0448,3.0053,1.0,0.2785,0.6252,0.5224,1.0,0.6439,0.9202,2.0272,0.5843,1.0,1.6119,3.9902
bs059,N,bs059_N_N_1.lm3,0.7923,2.0039,1.4096,1.8901,0.8386,1.2948,1.6627,1.0911,1.1442,3.1286,1.0,0.5422,0.4139,0.4939,1.0,0.5421,0.6122,1.1005,2.1597,1.0,0.2798,3.6043
bs059,N,bs059_N_N_2.lm3,0.7035,1.8942,1.3187,1.7663,0.7916,1.2604,1.5936,1.1356,1.1076,3.123,1.0,0.594,0.3873,0.4748,1.0,0.4831,0.5758,1.1717,2.3356,1.0,0.823,3.515
bs059,N,bs059_N_N_3.lm3,0.768,1.8217,1.2034,1.5618,0.7291,1.1478,1.444,0.8327,0.9844,2.7153,1.0,0.3396,0.345,0.4344,1.0,0.4289,0.4978,0.8074,1.1789,1.0,0.9852,3.0457
bs060,N,bs060_N_N_0.lm3,0.5734,1.5832,1.1117,1.6972,0.8777,0.9429,1.4516,1.0122,0.9652,2.9379,1.0,0.3313,0.39,0.4883,1.0,0.5799,0.5132,2.2026,1.0579,1.0,1.3273,3.3027
bs060,N,bs060_N_N_1.lm3,0.6577,1.4897,0.9008,1.5616,0.914,0.964,1.4211,0.9624,0.9912,2.8952,1.0,0.4538,0.5369,0.489,1.0,0.5224,0.6011,3.4199,1.8475,1.0,0.9474,3.6032
bs060,N,bs060_N_N_2.lm3,0.5744,1.5797,1.2223,1.711,0.6891,0.8244,1.2877,1.0154,1.0089,2.9388,1.0,0.5494,0.2784,0.3736,1.0,0.5202,0.5004,1.1866,1.9199,1.0,0.5316,3.222
bs060,N,bs060_N_N_3.lm3,0.739,1.5745,0.9293,1.5684,0.8748,0.898,1.3913,0.9801,0.9797,2.8872,1.0,0.4644,0.4039,0.4755,1.0,0.4334,0.538,2.0033,1.5673,1.0,1.8198,3.3152
bs061,N,bs061_N_N_0.lm3,0.8133,1.9615,1.2082,1.6324,0.9598,1.1452,1.6421,1.0836,1.1203,3.1822,1.0,0.2158,0.4742,0.4914,1.0,0.5627,0.5361,2.6371,1.1828,1.0,0.2652,3.2802
bs061,N,bs061_N_N_1.lm3,0.7394,1.8211,1.1605,1.6537,0.9706,1.0437,1.522,1.0569,1.0218,3.0473,1.0,0.3258,0.3717,0.4569,1.0,0.5028,0.4534,1.7929,1.6353,1.0,0.5859,3.1106
bs061,N,bs061_N_N_2.lm3,0.7008,1.8718,1.2996,1.692,0.8784,1.0679,1.5089,1.1034,1.0133,3.0889,1.0,0.3142,0.3762,0.4565,1.0,0.5846,0.4798,1.423,0.9931,1.0,0.5983,3.2113
bs061,N,bs061_N_N_3.lm3,0.7993,1.9008,1.1697,1.6718,1.0065,1.1214,1.5833,1.1902,1.074,3.2185,1.0,0.4102,0.4511,0.4808,1.0,0.526,0.5241,2.3538,2.2225,1.0,0.9924,3.3922
bs062,N,bs062_N_N_0.lm3,0.4252,1.4661,1.0964,1.823,1.215,1.0211,1.7584,1.0879,1.1101,3.1274,1.0,0.5422,0.7354,0.8157,1.0,0.7931,0.8915,6.306,2.2387,1.0,1.2271,4.7779
bs062,N,bs062_N_N_1.lm3,0.6498,1.5106,0.897,1.5722,1.0983,1.0048,1.6498,1.1203,1.075,3.1463,1.0,0.4964,0.6246,0.5989,1.0,0.535,0.6922,5.4834,2.1412,1.0,3.6569,3.9471
bs062,N,bs062_N_N_2.lm3,0.5247,1.5057,1.0327,1.86,1.2681,1.0201,1.7778,1.2284,1.1827,3.3047,1.0,0.7679,0.7572,0.6915,1.0,0.7701,0.8605,7.2032,5.1988,1.0,1.0867,4.8472
bs062,N,bs062_N_N_3.lm3,0.455,1.3998,1.0159,1.7596,1.1608,1.0305,1.7824,1.1377,1.133,3.1824,1.0,0.677,0.7819,0.7676,1.0,0.7841,0.8842,5.8966,2.3443,1.0,1.0877,4.8948
bs063,N,bs063_N_N_0.lm3,0.6654,1.7647,1.249,1.9329,1.0158,1.1478,1.7178,1.4501,1.4721,3.774,1.0,0.9948,0.6222,0.7571,1.0,0.6945,0.8383,3.1553,3.849,1.0,2.037,4.9069
bs063,N,bs063_N_N_1.lm3,0.5214,1.5485,1.2655,1.8735,0.9395,1.0081,1.5484,1.0999,1.1451,3.1656,1.0,0.6651,0.5685,0.616,1.0,0.7281,0.8793,3.0113,2.6891,1.0,2.0068,4.457
bs063,N,bs063_N_N_2.lm3,0.5815,1.6761,1.2706,1.8574,0.9218,1.1058,1.7194,1.3098,1.2356,3.4277,1.0,0.81,0.6577,0.8006,1.0,0.7824,0.8623,2.9666,2.8278,1.0,0.7021,4.913
bs063,N,bs063_N_N_3.lm3,0.4773,1.543,1.2592,1.9125,0.9316,1.0548,1.6086,1.2853,1.2774,3.389,1.0,1.13,0.5591,0.8388,1.0,0.8202,0.7149,3.2561,5.1466,1.0,2.9617,5.063
bs064,N,bs064_N_N_0.lm3,0.7278,1.804,1.2256,1.9938,1.207,1.3068,1.7373,1.1725,1.1222,3.2147,1.0,0.55,0.7875,0.6439,1.0,0.7669,0.8938,3.2696,0.7101,1.0,1.065,4.6421
bs064,N,bs064_N_N_1.lm3,0.8563,1.7876,1.0375,1.843,1.1936,1.2897,1.7191,1.0725,1.1124,3.1267,1.0,0.4308,0.7201,0.6718,1.0,0.5974,0.7658,3.4908,1.0446,1.0,2.2168,4.1859
bs064,N,bs064_N_N_2.lm3,0.6836,1.8611,1.4099,2.1336,1.171,1.2945,1.6738,1.0455,1.2179,3.1787,1.0,0.2618,0.8477,0.6707,1.0,0.9766,1.0495,3.0556,0.4505,1.0,0.6237,4.8063
bs064,N,bs064_N_N_3.lm3,0.6543,1.9388,1.3994,2.027,1.1411,1.3843,1.6718,1.113,1.0819,3.1409,1.0,0.403,0.8219,0.5922,1.0,0.7927,0.9816,4.0836,1.1946,1.0,1.723,4.5914
bs065,N,bs065_N_N_0.lm3,0.4368,1.5727,1.2463,1.9543,1.095,1.2299,1.7635,1.1767,1.1566,3.1604,1.0,0.9035,0.8729,0.7815,1.0,0.8947,1.0115,5.319,4.0669,1.0,1.0164,5.4641
bs065,N,bs065_N_N_1.lm3,0.523,1.558,1.1265,1.9138,1.1336,1.2433,1.7405,1.1427,1.2529,3.197,1.0,0.9846,0.8113,0.7918,1.0,0.7451,0.9233,5.3492,5.1321,1.0,1.8093,5.2561
bs065,N,bs065_N_N_2.lm3,0.4628,1.6048,1.263,1.9747,1.103,1.2287,1.7838,1.2293,1.1646,3.2117,1.0,0.9651,0.7499,0.7983,1.0,0.7678,0.9615,4.0659,3.3164,1.0,2.7616,5.2426
bs065,N,bs065_N_N_3.lm3,0.4992,1.5675,1.1629,1.955,1.1561,1.265,1.771,1.3716,1.1961,3.3567,1.0,1.1606,0.8343,0.7516,1.0,0.7843,0.9294,5.0682,5.283,1.0,2.4443,5.4602
bs066,N,bs066_N_N_0.lm3,0.5601,1.8581,1.5194,1.9966,1.1074,1.2434,1.7209,1.1352,1.166,3.2125,1.0,0.5209,0.6566,0.6579,1.0,0.6978,1.0692,2.0955,1.4724,1.0,2.7283,4.6024
bs066,N,bs066_N_N_1.lm3,0.4873,1.8125,1.5447,1.9775,1.0804,1.177,1.668,1.0578,1.0496,3.0679,1.0,0.3672,0.7403,0.5547,1.0,0.9112,1.0125,2.6061,1.065,1.0,0.0367,4.5859
bs066,N,bs066_N_N_2.lm3,0.564,1.8595,1.4423,1.9562,1.222,1.3104,1.7786,1.1898,1.2494,3.3264,1.0,0.6919,0.6062,0.6665,1.0,0.5845,1.0167,2.3933,2.0869,1.0,3.7754,4.5658
bs066,N,bs066_N_N_3.lm3,0.5304,1.7732,1.4005,1.8833,1.0902,1.1436,1.6623,1.0537,1.0449,3.0326,1.0,0.4426,0.627,0.6218,1.0,0.6864,0.9068,2.3639,1.2093,1.0,1.7689,4.2846
bs067,N,bs067_N_N_0.lm3,0.7515,1.8453,1.367,1.9932,0.8862,1.1141,1.4384,0.9893,1.1516,3.0429,1.0,0.5086,0.4115,0.3576,1.0,0.5502,0.5447,0.6351,1.4887,1.0,0.4557,3.3726
bs067,N,bs067_N_N_1.lm3,0.6776,1.7482,1.4707,1.9785,0.6984,1.1445,1.4763,0.9782,0.9693,2.8951,1.0,0.3761,0.5374,0.3964,1.0,0.6278,0.7456,0.6721,0.6633,1.0,0.3055,3.6833
bs067,N,bs067_N_N_2.lm3,0.5749,1.7931,1.5999,2.0542,0.6885,1.0187,1.334,0.874,1.0921,2.8997,1.0,0.3136,0.3156,0.3125,1.0,0.4853,0.6422,0.4675,0.7984,1.0,0.0736,3.0692
bs067,N,bs067_N_N_3.lm3,0.4904,1.8495,1.7634,2.2473,0.7787,1.095,1.527,1.0158,1.1328,3.0671,1.0,0.4343,0.3579,0.3903,1.0,0.5673,0.7463,0.7213,1.0863,1.0,0.204,3.4961
bs068,N,bs068_N_N_0.lm3,0.4926,1.5333,1.219,1.7529,0.8984,1.0731,1.2073,0.8982,0.9396,2.7917,1.0,0.3318,0.4612,0.338,1.0,0.586,0.6295,1.419,1.2119,1.0,0.4079,3.3465
bs068,N,bs068_N_N_1.lm3,0.47,1.6155,1.3513,1.9223,1.0616,1.2821,1.5187,1.0736,1.1848,3.1865,1.0,0.6145,0.6922,0.5725,1.0,0.7345,0.8956,2.3504,1.5084,1.0,1.2086,4.5093
bs068,N,bs068_N_N_2.lm3,0.467,1.4669,1.1426,1.6355,0.918,1.1044,1.224,0.9944,0.8884,2.7911,1.0,0.6608,0.5293,0.3921,1.0,0.5177,0.7483,1.9053,2.1263,1.0,2.4086,3.8482
bs068,N,bs068_N_N_3.lm3,0.3746,1.4283,1.1829,1.6972,0.9927,1.195,1.1677,0.8006,0.9543,2.7168,1.0,0.3272,0.6836,0.3469,1.0,0.688,0.8058,3.2631,1.7142,1.0,0.3546,3.8515
bs069,N,bs069_N_N_0.lm3,0.4079,1.8569,1.5664,2.5054,1.3451,1.2956,1.7097,1.2389,1.3151,3.5083,1.0,0.488,0.8199,0.6077,1.0,1.0476,1.1285,6.5894,3.2449,1.0,0.7903,5.0917
bs069,N,bs069_N_N_1.lm3,0.5582,1.7751,1.4262,2.2204,1.1215,1.2091,1.5924,1.1167,1.1176,3.2075,1.0,0.2643,0.5468,0.5991,1.0,0.6548,0.975,2.5835,0.9488,1.0,3.6494,4.04
bs069,N,bs069_N_N_2.lm3,0.2944,1.6991,1.5736,2.2342,1.0432,1.0809,1.5482,1.0028,1.1756,3.1134,1.0,0.4777,0.6165,0.584,1.0,0.8744,1.0441,14.2518,9.4003,1.0,2.1977,4.5967
bs069,N,bs069_N_N_3.lm3,0.3558,1.8422,1.6906,2.471,1.1841,1.2211,1.7437,1.1853,1.3058,3.4282,1.0,0.5595,0.6112,0.6929,1.0,0.8488,1.1234,3.8093,2.8375,1.0,3.4431,4.8358
bs070,N,bs070_N_N_0.lm3,0.425,1.6531,1.385,1.7681,0.6224,1.0043,1.4365,0.8729,0.8988,2.7367,1.0,0.3108,0.3264,0.4736,1.0,0.5508,0.5465,1.5139,1.6984,1.0,0.4232,3.2081
bs070,N,bs070_N_N_1.lm3,0.4272,1.7326,1.5034,1.8783,0.6013,1.0938,1.5947,1.1153,1.0707,3.1021,1.0,0.5435,0.3091,0.5313,1.0,0.5776,0.5495,1.0626,2.3329,1.0,1.3694,3.511
bs070,N,bs070_N_N_2.lm3,0.5833,1.745,1.405,1.8856,0.7112,1.1181,1.6229,1.0514,1.122,3.0987,1.0,0.4137,0.3594,0.5651,1.0,0.5582,0.6369,1.1514,1.3484,1.0,0.1795,3.5333
bs070,N,bs070_N_N_3.lm3,0.551,1.7386,1.4608,1.8765,0.5979,1.1671,1.643,1.0928,1.0894,3.0902,1.0,0.5317,0.3834,0.5851,1.0,0.6574,0.562,0.915,1.6587,1.0,1.4217,3.7196
bs071,N,bs071_N_N_0.lm3,0.5413,1.6785,1.2959,1.8248,1.0155,1.1093,1.7259,1.1265,1.1097,3.1291,1.0,0.6386,0.6417,0.7145,1.0,0.7901,0.843,3.2444,2.5956,1.0,0.1272,4.6279
bs071,N,bs071_N_N_1.lm3,0.4228,1.6085,1.3266,1.8506,0.9898,1.1367,1.6498,1.1856,1.0677,3.1391,1.0,0.7056,0.6677,0.5504,1.0,0.7878,0.9118,3.5066,2.8496,1.0,0.8753,4.6233
bs071,N,bs071_N_N_2.lm3,0.3721,1.6503,1.3975,1.9872,1.0694,1.0481,1.667,1.0748,1.1651,3.1588,1.0,0.5196,0.5497,0.6743,1.0,0.8136,0.8225,3.9547,2.8337,1.0,2.06,4.3797
bs071,N,bs071_N_N_3.lm3,0.5068,1.5917,1.2298,1.9034,1.0611,1.0457,1.5749,1.2202,1.1673,3.2502,1.0,0.8425,0.5958,0.6174,1.0,0.7334,0.8407,3.1886,3.5807,1.0,1.0728,4.6298
bs072,N,bs072_N_N_0.lm3,0.4961,1.3613,1.0895,1.7366,0.9561,1.1325,1.3445,0.9637,1.0781,2.928,1.0,0.7918,0.5951,0.5173,1.0,0.7257,0.6776,2.1243,2.4599,1.0,1.98,4.3075
bs072,N,bs072_N_N_1.lm3,0.4819,1.4987,1.2076,1.7515,0.9,1.0406,1.5237,0.9744,1.0154,2.9361,1.0,0.4697,0.4074,0.6186,1.0,0.6197,0.614,1.588,1.8195,1.0,0.1673,3.7294
bs072,N,bs072_N_N_2.lm3,0.4289,1.4421,1.1101,1.5913,0.8193,0.9402,1.2677,0.8496,0.9206,2.6983,1.0,0.3751,0.3263,0.4721,1.0,0.5297,0.482,1.9997,2.0234,1.0,1.5671,3.1852
bs072,N,bs072_N_N_3.lm3,0.3946,1.3965,1.1652,1.6782,0.867,1.0792,1.4165,0.9101,0.919,2.7711,1.0,0.4898,0.6032,0.592,1.0,0.6702,0.8034,2.821,1.5812,1.0,1.6071,4.1586
bs073,N,bs073_N_N_0.lm3,0.3727,1.6709,1.4108,2.0985,0.949,1.2554,1.6155,1.1604,1.274,3.3408,1.0,0.6666,0.3731,0.5841,1.0,0.6102,0.6745,2.2776,2.7896,1.0,2.4444,3.9085
bs073,N,bs073_N_N_1.lm3,0.5509,1.892,1.5212,2.2553,1.0296,1.4648,1.8135,1.1121,1.1865,3.2863,1.0,0.1236,0.5606,0.5974,1.0,0.6374,0.9175,2.2145,0.5341,1.0,1.8947,3.8365
bs073,N,bs073_N_N_2.lm3,0.395,1.8986,1.6493,2.4082,1.0691,1.4425,1.9544,1.2021,1.4013,3.5368,1.0,0.4794,0.582,0.6835,1.0,0.7401,0.9972,3.4537,2.3037,1.0,1.7478,4.4822
bs073,N,bs073_N_N_3.lm3,0.5121,1.8818,1.5599,2.3139,1.0238,1.4115,1.8579,1.1701,1.3423,3.4583,1.0,0.4237,0.4738,0.693,1.0,0.7698,0.7517,2.1481,1.562,1.0,1.617,4.112
bs074,N,bs074_N_N_0.lm3,0.3594,1.6156,1.4135,1.8836,0.8609,1.1032,1.7437,0.9243,1.0264,2.883,1.0,0.3534,0.4559,0.7272,1.0,0.7306,0.7527,3.1608,1.6206,1.0,0.5579,4.0198
bs074,N,bs074_N_N_1.lm3,0.323,1.4909,1.3215,1.8088,0.8632,1.1343,1.7868,0.9118,0.9223,2.78,1.0,0.4094,0.6126,0.7678,1.0,0.7802,0.8199,4.2297,1.0695,1.0,0.7214,4.3899
bs074,N,bs074_N_N_2.lm3,0.2808,1.5101,1.3494,1.7797,0.814,1.1426,1.6467,0.8571,0.8592,2.6866,1.0,0.3337,0.5585,0.6414,1.0,0.698,0.8784,5.0197,1.0946,1.0,3.9321,4.11
bs074,N,bs074_N_N_3.lm3,0.3062,1.43,1.2969,1.8148,0.8934,1.0399,1.6417,0.8808,0.9381,2.7519,1.0,0.4943,0.3833,0.7285,1.0,0.6726,0.6491,2.7862,1.4342,1.0,1.5723,3.9278
bs075,N,bs075_N_N_0.lm3,0.5472,1.874,1.5078,2.1582,1.1943,1.2362,1.7201,0.9063,0.9275,2.8207,1.0,0.1543,0.8273,0.5847,1.0,0.9431,0.983,3.5,0.2285,1.0,0.1752,4.4924
bs075,N,bs075_N_N_1.lm3,0.4693,1.8504,1.5558,2.2203,1.1531,1.222,1.6023,0.9791,0.949,2.8776,1.0,0.3812,0.8251,0.5666,1.0,0.9622,1.1152,4.1409,1.6153,1.0,0.5637,4.8503
bs075,N,bs075_N_N_2.lm3,0.3254,1.7297,1.4994,2.0169,1.1213,1.1874,1.6211,0.9347,0.8717,2.7699,1.0,0.3215,0.5932,0.5485,1.0,0.5779,0.9925,5.3858,0.9279,1.0,8.044,4.0336
bs075,N,bs075_N_N_3.lm3,0.705,1.9873,1.4706,2.3505,1.4147,1.1995,1.7364,1.0674,1.2815,3.3048,1.0,0.3609,0.5219,0.5278,1.0,0.7122,0.7494,2.2227,0.1245,1.0,0.6797,3.8722
bs076,N,bs076_N_N_0.lm3,0.5221,1.6861,1.4618,1.8537,0.678,1.121,1.3629,0.7563,0.8386,2.5623,1.0,0.2118,0.4305,0.385,1.0,0.5938,0.7619,1.2088,0.1961,1.0,0.8638,3.383
bs076,N,bs076_N_N_1.lm3,0.4453,1.7318,1.4702,1.947,0.8158,1.1337,1.3929,0.8417,1.0063,2.7805,1.0,0.3071,0.3874,0.3744,1.0,0.4665,0.8115,1.6353,1.7243,1.0,2.4425,3.3469
bs076,N,bs076_N_N_2.lm3,0.4302,1.5786,1.3931,1.7674,0.3945,1.0101,1.3785,0.7833,0.7965,2.5337,1.0,0.2708,0.1927,0.4516,1.0,0.4206,0.5163,0.2337,1.205,1.0,0.2036,2.852
bs076,N,bs076_N_N_3.lm3,0.4297,1.6664,1.4662,1.8554,0.6838,1.1089,1.44,0.8467,0.8862,2.6456,1.0,0.4377,0.4396,0.4259,1.0,0.5763,0.7938,1.7466,1.9568,1.0,1.9503,3.6733
bs077,N,bs077_N_N_0.lm3,0.5684,1.8161,1.3935,1.9686,1.136,1.0312,1.4703,0.9934,1.0663,3.0173,1.0,0.3571,0.445,0.3973,1.0,0.5893,0.7292,2.1426,0.9646,1.0,1.1172,3.5179
bs077,N,bs077_N_N_1.lm3,0.402,1.925,1.7035,2.223,1.1456,1.1358,1.6136,1.0298,1.1626,3.1162,1.0,0.3853,0.4956,0.4693,1.0,0.6437,1.0698,2.8139,1.0107,1.0,4.2123,4.0637
bs077,N,bs077_N_N_2.lm3,0.5435,1.8604,1.4618,2.0206,1.1345,1.1164,1.4557,0.9939,1.0804,3.0075,1.0,0.407,0.5382,0.4496,1.0,0.6467,0.8753,2.7992,1.1184,1.0,2.4535,3.9168
bs077,N,bs077_N_N_3.lm3,0.4689,1.81,1.4775,2.0204,1.1541,1.1537,1.4842,1.037,1.005,3.0054,1.0,0.3651,0.5216,0.4274,1.0,0.6095,0.9931,3.5736,1.7149,1.0,7.2851,3.9167
bs078,N,bs078_N_N_0.lm3,0.5714,2.0226,1.6275,2.3246,1.188,1.4015,1.8104,1.1025,1.198,3.2019,1.0,0.49,0.6407,0.5201,1.0,0.7004,1.038,2.6596,1.4846,1.0,2.5952,4.3892
bs078,N,bs078_N_N_1.lm3,0.4509,1.8756,1.5999,2.2069,1.0989,1.2468,1.7116,1.1695,1.0415,3.1026,1.0,0.61,0.5841,0.5386,1.0,0.7197,1.019,2.8328,2.2858,1.0,3.2168,4.4714
bs078,N,bs078_N_N_2.lm3,0.597,2.0111,1.6477,2.306,1.1501,1.2873,1.865,1.1988,1.2135,3.2913,1.0,0.6204,0.6517,0.6683,1.0,0.8857,0.9248,2.4902,1.7938,1.0,0.0152,4.7509
bs078,N,bs078_N_N_3.lm3,0.5842,2.0291,1.7415,2.4484,1.1607,1.3102,1.8778,1.0983,1.2046,3.2447,1.0,0.3393,0.6628,0.6261,1.0,1.0133,0.9512,2.2915,0.5714,1.0,1.7541,4.5927
bs079,N,bs079_N_N_0.lm3,0.3902,1.8116,1.5967,2.1996,1.0151,1.3384,1.7958,0.9866,0.9863,2.9689,1.0,0.1193,0.4524,0.573,1.0,0.7005,0.7342,2.1649,0.796,1.0,1.5873,3.5794
bs079,N,bs079_N_N_1.lm3,0.4188,1.835,1.6399,2.4292,1.1992,1.4984,1.7708,1.0628,1.1142,3.172,1.0,0.0076,0.8456,0.583,1.0,0.9317,1.1161,4.0227,0.0375,1.0,0.7194,4.484
bs079,N,bs079_N_N_2.lm3,0.3716,1.6739,1.467,2.1704,1.1065,1.3689,1.5618,0.9218,0.9793,2.8909,1.0,0.1968,0.6609,0.5007,1.0,0.7104,0.9855,4.0245,1.2509,1.0,3.2706,4.0543
bs079,N,bs079_N_N_3.lm3,0.3749,1.8111,1.6717,2.4395,1.1922,1.4711,1.8087,1.0962,1.0961,3.1664,1.0,0.3023,0.733,0.661,1.0,0.8202,1.1459,3.9573,1.7022,1.0,2.8169,4.6624
bs080,N,bs080_N_N_0 (1).lm3,0.4043,1.5977,1.3391,1.8222,0.854,1.1228,1.499,0.9621,1.0242,2.9321,1.0,0.3782,0.5485,0.5773,1.0,0.8198,0.7013,2.5761,2.166,1.0,2.297,4.0251
bs080,N,bs080_N_N_0.lm3,0.4043,1.5977,1.3391,1.8222,0.854,1.1228,1.499,0.9621,1.0242,2.9321,1.0,0.3782,0.5485,0.5773,1.0,0.8198,0.7013,2.5761,2.166,1.0,2.297,4.0251
bs080,N,bs080_N_N_1 (1).lm3,0.3757,1.51,1.3502,1.8705,0.8253,1.0913,1.46,0.9618,0.8536,2.7765,1.0,0.4215,0.6441,0.5647,1.0,0.7547,0.8762,2.0808,1.8582,1.0,0.547,4.2612
bs080,N,bs080_N_N_1.lm3,0.3757,1.51,1.3502,1.8705,0.8253,1.0913,1.46,0.9618,0.8536,2.7765,1.0,0.4215,0.6441,0.5647,1.0,0.7547,0.8762,2.0808,1.8582,1.0,0.547,4.2612
bs080,N,bs080_N_N_2 (1).lm3,0.4953,1.5751,1.3316,1.8437,0.7913,1.1855,1.5113,1.0408,0.9541,2.9685,1.0,0.3292,0.5978,0.5616,1.0,0.6627,0.9195,1.7849,1.1369,1.0,2.354,4.0708
bs080,N,bs080_N_N_2.lm3,0.4953,1.5751,1.3316,1.8437,0.7913,1.1855,1.5113,1.0408,0.9541,2.9685,1.0,0.3292,0.5978,0.5616,1.0,0.6627,0.9195,1.7849,1.1369,1.0,2.354,4.0708
bs080,N,bs080_N_N_3 (1).lm3,0.5124,1.6339,1.3449,1.8788,0.8426,1.1405,1.5114,0.9928,1.0257,2.9715,1.0,0.3884,0.628,0.5724,1.0,0.7364,0.8686,2.0522,1.6415,1.0,0.8061,4.1938
bs080,N,bs080_N_N_3.lm3,0.5124,1.6339,1.3449,1.8788,0.8426,1.1405,1.5114,0.9928,1.0257,2.9715,1.0,0.3884,0.628,0.5724,1.0,0.7364,0.8686,2.0522,1.6415,1.0,0.8061,4.1938
bs081,N,bs081_N_N_0 (1).lm3,0.5929,1.7716,1.394,1.8227,0.8487,1.1168,1.4965,0.8029,0.8508,2.6225,1.0,0.2608,0.4173,0.4431,1.0,0.5703,0.6581,1.1325,0.793,1.0,0.2149,3.3496
bs081,N,bs081_N_N_0.lm3,0.5929,1.7716,1.394,1.8227,0.8487,1.1168,1.4965,0.8029,0.8508,2.6225,1.0,0.2608,0.4173,0.4431,1.0,0.5703,0.6581,1.1325,0.793,1.0,0.2149,3.3496
bs081,N,bs081_N_N_1 (1).lm3,0.5265,1.7896,1.4987,1.9019,0.8077,1.1477,1.5897,0.8719,0.9465,2.7834,1.0,0.3233,0.4351,0.4627,1.0,0.6433,0.6989,1.3212,0.8199,1.0,0.0859,3.5633
bs081,N,bs081_N_N_1.lm3,0.5265,1.7896,1.4987,1.9019,0.8077,1.1477,1.5897,0.8719,0.9465,2.7834,1.0,0.3233,0.4351,0.4627,1.0,0.6433,0.6989,1.3212,0.8199,1.0,0.0859,3.5633
bs081,N,bs081_N_N_2 (1).lm3,0.6595,1.7853,1.3762,1.8696,0.8875,1.2084,1.5695,0.9057,0.9129,2.8056,1.0,0.1833,0.5456,0.4798,1.0,0.6612,0.7737,1.5054,0.4158,1.0,0.1131,3.6436
bs081,N,bs081_N_N_2.lm3,0.6595,1.7853,1.3762,1.8696,0.8875,1.2084,1.5695,0.9057,0.9129,2.8056,1.0,0.1833,0.5456,0.4798,1.0,0.6612,0.7737,1.5054,0.4158,1.0,0.1131,3.6436
bs081,N,bs081_N_N_3 (1).lm3,0.5533,1.8696,1.543,1.976,0.8983,1.1876,1.6083,0.9252,0.9567,2.8442,1.0,0.32,0.52,0.4905,1.0,0.7167,0.8424,1.8567,0.9367,1.0,0.7964,3.8896
bs081,N,bs081_N_N_3.lm3,0.5533,1.8696,1.543,1.976,0.8983,1.1876,1.6083,0.9252,0.9567,2.8442,1.0,0.32,0.52,0.4905,1.0,0.7167,0.8424,1.8567,0.9367,1.0,0.7964,3.8896
