identity,expression,filename,exL_x,exL_y,exL_z,mebL_x,mebL_y,mebL_z,enL_x,enL_y,enL_z,enR_x,enR_y,enR_z,mebR_x,mebR_y,mebR_z,exR_x,exR_y,exR_z,seL_x,seL_y,seL_z,seR_x,seR_y,seR_z,alL_x,alL_y,alL_z,prn_x,prn_y,prn_z,alR_x,alR_y,alR_z,chL_x,chL_y,chL_z,ls_x,ls_y,ls_z,chR_x,chR_y,chR_z,li_x,li_y,li_z,sto_x,sto_y,sto_z,sl_x,sl_y,sl_z,gn_x,gn_y,gn_z
bs037,N,bs037_N_N_2.lm3,-69.34,-15.78,-174.456,-60.961,4.861,-158.523,-33.418,-17.171,-166.431,-1.999,-16.122,-166.556,21.596,8.506,-159.383,31.163,-9.582,-177.248,-22.853,-23.396,-147.082,-11.901,-23.325,-142.302,-36.426,-53.859,-151.349,-18.207,-51.911,-125.639,1.508,-52.225,-153.124,-39.958,-84.209,-168.953,-16.818,-77.793,-147.795,10.148,-81.333,-166.536,-16.873,-81.589,-154.15,-16.025,-83.383,-155.319,-15.043,-90.856,-153.163,-14.029,-120.654,-159.191
bs038,N,bs038_N_N_0.lm3,-62.097,11.924,-83.638,-53.899,33.52,-75.398,-29.072,15.96,-81.459,0.729,17.602,-81.227,26.815,38.608,-74.309,33.718,17.159,-89.791,-21.522,11.349,-53.485,-10.643,11.348,-53.586,-26.963,-22.01,-59.594,-15.606,-10.475,-34.412,1.657,-19.569,-55.199,-31.572,-54.921,-63.995,-12.411,-43.318,-51.742,12.096,-53.167,-68.133,-10.809,-51.184,-51.839,-11.657,-56.157,-58.822,-10.01,-66.129,-52.993,-9.288,-102.368,-72.746
bs038,N,bs038_N_N_1.lm3,-69.049,58.89,-46.374,-62.242,80.699,-37.065,-34.73,63.602,-41.562,-6.537,64.477,-42.024,19.231,86.106,-34.784,26.417,64.69,-48.349,-28.696,57.286,-15.559,-19.541,58.059,-13.858,-34.167,24.222,-22.913,-21.36,33.136,3.101,-5.599,28.023,-17.6,-38.982,-10.796,-30.028,-19.375,0.286,-15.23,6.235,-5.884,-31.967,-18.69,-7.474,-22.049,-17.982,-10.536,-19.988,-17.128,-20.57,-18.693,-15.499,-53.086,-35.884
bs039,N,bs039_N_N_0.lm3,-73.106,13.145,-112.236,-70.974,27.045,-98.831,-41.953,10.733,-109.612,-10.767,12.692,-110.63,13.487,28.093,-99.833,20.504,12.562,-119.533,-33.261,8.523,-92.745,-20.246,8.583,-91.599,-45.302,-26.282,-88.006,-28.083,-19.294,-68.86,-8.027,-25.192,-87.982,-50.751,-57.211,-106.797,-25.837,-50.751,-92.025,0.094,-56.486,-109.988,-25.968,-54.989,-96.268,-26.075,-56.715,-98.706,-25.292,-61.626,-99.302,-24.945,-92.69,-102.099
bs040,N,bs040_N_N_0.lm3,-65.44,18.386,-100.983,-59.186,34.542,-88.693,-34.213,16.096,-97.472,0.504,17.854,-98.931,23.05,33.414,-91.483,32.459,18.676,-108.531,-23.289,10.412,-77.439,-8.86,9.569,-79.269,-34.581,-20.729,-77.735,-17.406,-24.412,-59.757,0.873,-21.786,-89.067,-42.055,-53.882,-94.075,-18.334,-49.09,-80.693,6.538,-52.954,-96.81,-17.599,-50.879,-83.898,-17.627,-52.603,-85.647,-17.61,-58.365,-86.627,-15.846,-93.31,-90.355
bs040,N,bs040_N_N_1.lm3,-60.019,9.453,-25.336,-55.095,25.579,-15.583,-28.063,6.344,-21.975,5.94,6.449,-21.945,28.094,24.37,-15.204,40.326,6.631,-33.398,-18.614,-0.961,2.084,-4.075,-1.693,5.204,-29.002,-27.833,0.485,-12.069,-29.774,19.092,5.399,-30.096,2.861,-37.81,-62.491,-15.032,-13.814,-56.967,-1.374,12.448,-63.04,-16.265,-13.869,-60.257,-4.788,-13.866,-61.828,-5.491,-13.831,-65.614,-5.218,-11.267,-103.633,-9.625
bs041,N,bs041_N_N_0.lm3,-44.362,-0.738,-49.364,-41.863,25.919,-38.783,-10.597,3.437,-41.252,20.104,4.944,-41.911,47.334,28.534,-38.769,54.169,4.982,-47.106,-1.023,1.739,-26.78,11.4,2.643,-28.155,-10.22,-34.423,-17.107,5.41,-27.878,-0.218,23.028,-31.973,-16.034,-17.778,-72.275,-29.334,8.48,-62.125,-14.11,33.601,-69.088,-31.725,8.48,-63.688,-14.631,9.336,-67.022,-18.045,8.576,-69.107,-15.557,8.893,-106.819,-21.581
bs041,N,bs041_N_N_1.lm3,-54.356,3.394,35.78,-51.54,27.162,51.048,-22.107,7.141,41.197,10.555,6.473,41.795,36.359,28.739,47.66,44.281,6.498,28.542,-9.321,-1.303,59.36,1.613,0.095,57.431,-19.419,-37.565,59.805,-3.262,-33.16,77.635,14.218,-34.271,45.907,-29.985,-68.816,42.187,-2.423,-62.605,59.525,24.319,-65.144,37.549,-2.521,-65.782,54.802,-2.452,-67.843,56.922,-1.688,-70.749,56.776,-2.311,-105.011,43.114
bs042,N,bs042_N_N_0.lm3,-47.354,20.721,43.133,-43.929,41.933,58.874,-17.57,20.728,49.55,10.349,20.749,50.029,40.554,39.185,53.705,44.671,20.905,40.229,-7.922,14.924,73.485,5.887,15.044,75.256,-18.614,-17.87,72.898,-0.288,-16.656,95.099,16.484,-18.02,57.233,-28.981,-52.585,62.261,-2.357,-44.615,77.321,22.414,-53.382,59.314,-2.475,-50.787,72.912,-2.48,-53.838,71.151,-3.264,-60.308,72.659,-3.79,-97.82,55.42
bs042,N,bs042_N_N_1.lm3,-65.707,32.149,54.765,-59.479,53.163,70.151,-35.405,30.783,60.904,-4.621,30.736,60.181,23.661,48.239,65.466,27.088,30.048,52.208,-25.856,23.947,87.455,-11.406,24.031,87.564,-38.864,-7.137,84.729,-17.49,-5.176,108.353,-2.185,-10.818,71.758,-46.886,-42.939,75.187,-19.787,-34.329,91.102,2.395,-43.72,71.841,-19.257,-40.967,86.639,-19.362,-43.262,83.903,-19.236,-51.073,86.064,-20.819,-83.647,73.032
bs043,N,bs043_N_N_0.lm3,-70.118,15.561,-34.224,-65.008,39.241,-22.964,-37.799,13.814,-26.945,-9.066,16.366,-27.11,11.764,39.481,-20.695,21.965,18.702,-35.724,-27.325,6.957,-10.031,-19.045,6.961,-11.126,-39.044,-20.836,-15.387,-24.706,-18.901,3.658,-8.311,-20.898,-20.622,-44.723,-50.592,-26.074,-22.69,-44.697,-14.103,1.138,-47.418,-28.472,-22.715,-50.329,-17.471,-22.659,-52.581,-15.997,-22.617,-59.685,-15.743,-19.422,-88.665,-25.67
bs043,N,bs043_N_N_1.lm3,-64.555,11.834,-28.964,-60.509,37.108,-20.514,-33.26,9.429,-23.491,-3.875,11.897,-25.787,17.659,35.843,-19.425,24.803,11.885,-30.879,-23.764,1.195,-4.847,-11.017,1.771,-10.869,-33.681,-24.294,-8.227,-18.053,-19.37,9.123,-3.644,-23.39,-6.083,-40.018,-54.148,-19.336,-17.413,-48.679,-5.118,5.781,-53.32,-22.115,-18.294,-53.725,-12.049,-17.49,-56.684,-8.592,-17.431,-63.599,-8.77,-15.693,-92.236,-13.871
bs044,N,bs044_N_N_0.lm3,-56.913,4.112,0.27,-46.584,27.487,18.283,-23.094,1.086,10.724,7.781,2.12,13.894,33.4,26.195,21.487,45.187,4.4,3.714,-16.123,-4.634,29.08,-2.571,-4.619,32.323,-30.227,-37.766,26.015,-11.204,-36.093,52.111,10.902,-40.555,32.159,-36.487,-71.353,18.07,-12.062,-68.844,36.963,18.516,-72.417,21.65,-10.599,-71.199,34.445,-10.594,-73.474,33.937,-12.072,-81.224,29.119,-12.023,-110.875,22.431
bs044,N,bs044_N_N_1.lm3,-56.276,20.202,54.604,-47.067,41.928,68.597,-21.065,16.6,61.455,9.229,18.113,63.951,34.439,42.911,70.536,45.254,19.769,53.831,-14.006,8.57,80.402,-0.475,8.795,81.937,-26.969,-24.162,78.864,-9.225,-22.016,101.085,12.28,-25.339,80.639,-35.214,-55.83,68.171,-9.334,-53.405,86.787,20.311,-57.648,69.185,-8.669,-56.451,83.285,-8.699,-58.679,82.203,-8.659,-66.822,79.874,-10.014,-94.214,71.054
bs045,N,bs045_N_N_0.lm3,-41.756,-10.094,2.771,-33.605,9.058,18.19,-12.526,-12.309,11.166,22.325,-10.626,8.583,44.125,12.178,14.101,51.704,-7.668,-5.352,-1.305,-15.713,24.768,13.292,-15.618,27.918,-9.186,-47.666,30.512,7.87,-44.1,47.904,26.195,-48.933,18.084,-18.276,-79.45,16.806,8.069,-70.898,34.933,37.019,-78.947,9.7,8.83,-78.022,28.046,8.882,-80.21,29.865,8.228,-85.221,31.656,7.622,-116.118,19.142
bs045,N,bs045_N_N_1.lm3,-39.545,3.852,27.668,-32.55,21.718,42.282,-9.56,0.128,34.395,23.981,0.977,32.639,46.155,21.907,40.197,54.22,3.939,20.774,0.184,-7.076,47.993,14.876,-5.462,50.315,-7.073,-37.39,52.5,9.85,-33.773,67.468,27.018,-37.626,44.072,-16.039,-69.393,36.256,9.859,-61.84,51.368,36.302,-68.817,29.699,10.722,-68.499,48.474,10.824,-71.039,44.182,10.85,-79.611,46.921,9.59,-107.781,31.078
bs046,N,bs046_N_N_0.lm3,-43.713,14.096,34.645,-42.132,34.867,40.597,-13.629,11.843,41.713,16.767,11.132,41.567,43.506,35.794,36.342,47.451,12.778,29.831,-4.749,8.271,54.409,9.886,7.522,50.473,-14.912,-23.489,57.671,3.491,-14.107,77.708,21.234,-22.795,51.015,-24.427,-54.537,53.562,4.271,-45.066,69.281,29.529,-54.673,49.232,4.992,-51.092,64.053,5.012,-54.067,63.041,5.056,-62.04,64.497,2.32,-87.441,57.448
bs046,N,bs046_N_N_1.lm3,-53.927,10.757,44.791,-53.823,32.355,50.056,-22.742,9.382,52.457,7.454,10.157,50.764,34.809,33.138,47.901,37.143,10.932,42.913,-13.025,8.057,66.293,-1.261,8.173,67.0,-22.951,-26.208,71.14,-3.871,-16.381,89.247,12.845,-25.515,63.628,-34.033,-56.406,65.949,-3.871,-46.848,81.314,22.37,-55.645,62.437,-3.196,-53.689,76.519,-3.947,-56.702,75.272,-3.925,-63.16,76.549,-5.149,-86.688,71.555
bs047,N,bs047_N_N_0.lm3,-58.758,31.836,-70.262,-52.822,51.686,-56.067,-26.676,32.755,-64.789,7.453,32.796,-65.261,31.193,50.146,-56.006,39.369,30.596,-74.627,-17.782,27.873,-50.05,-2.857,27.879,-45.644,-28.772,-1.186,-51.844,-11.145,-1.04,-24.629,8.421,-1.863,-47.349,-33.906,-39.16,-49.152,-8.963,-29.241,-31.669,15.614,-38.199,-48.876,-9.694,-35.567,-36.837,-9.676,-37.138,-36.695,-9.693,-42.5,-32.836,-9.234,-86.37,-47.812
bs047,N,bs047_N_N_1.lm3,-60.328,27.765,-62.671,-52.029,48.029,-45.555,-27.471,27.657,-55.646,5.55,26.876,-55.526,29.148,45.005,-46.012,38.164,23.902,-64.323,-20.348,21.298,-40.972,-6.131,20.59,-34.374,-29.278,-7.659,-33.678,-13.761,-8.158,-15.801,4.105,-10.555,-31.062,-38.19,-43.91,-41.493,-12.979,-36.292,-24.298,12.154,-45.483,-40.856,-13.828,-41.076,-27.071,-13.909,-42.709,-29.338,-13.637,-48.782,-25.118,-13.363,-84.219,-35.347
bs047,N,bs047_N_N_2.lm3,-58.562,22.497,-41.607,-50.135,41.519,-26.306,-25.228,23.054,-32.13,8.048,22.289,-33.419,31.892,40.871,-22.906,41.162,21.775,-39.0,-14.898,17.552,-12.871,-4.279,17.435,-10.029,-26.315,-11.703,-9.786,-9.291,-13.063,7.043,8.269,-11.553,-8.504,-34.754,-48.212,-17.025,-9.076,-40.514,0.299,15.419,-47.969,-13.654,-9.204,-45.239,-3.726,-9.21,-47.543,-3.637,-9.191,-53.615,-1.546,-8.997,-91.005,-11.994
bs047,N,bs047_N_N_3.lm3,-59.276,25.201,-55.932,-51.919,45.301,-42.332,-26.531,25.829,-49.459,6.336,25.85,-49.514,30.565,44.651,-41.97,38.122,25.245,-55.288,-16.866,21.043,-29.837,-4.495,20.993,-25.894,-26.794,-6.961,-22.594,-10.673,-3.669,-6.288,7.312,-9.266,-22.241,-36.119,-43.587,-27.705,-8.833,-34.513,-11.361,15.375,-44.276,-26.962,-8.086,-38.463,-14.022,-9.663,-40.905,-16.838,-10.419,-46.877,-11.834,-10.086,-88.242,-20.317
bs048,N,bs048_N_N_0.lm3,-42.586,14.552,-3.958,-36.974,32.847,8.393,-13.55,12.301,-1.227,16.271,11.693,-1.437,40.469,33.076,3.561,45.687,14.086,-12.033,-2.983,6.369,17.352,7.664,7.151,17.24,-13.857,-24.787,17.587,1.909,-21.193,35.361,18.572,-25.377,18.665,-20.806,-55.6,2.049,3.509,-47.95,19.111,26.593,-53.173,0.276,3.485,-53.477,14.187,3.492,-55.83,13.303,4.221,-64.868,15.171,3.761,-94.775,-1.2
bs048,N,bs048_N_N_1.lm3,-43.559,9.984,-2.403,-37.093,26.714,11.195,-13.77,7.818,3.106,15.256,10.902,1.365,38.656,31.513,6.223,44.496,13.312,-8.203,-4.044,1.118,19.858,8.907,1.167,20.184,-13.319,-27.015,20.032,3.776,-27.185,36.73,19.872,-24.038,13.083,-18.038,-58.567,3.98,5.456,-50.129,20.181,30.22,-53.947,0.125,5.434,-56.412,15.823,5.498,-58.874,13.395,6.225,-67.762,16.828,6.572,-94.453,2.849
bs048,N,bs048_N_N_2.lm3,-73.107,29.23,7.448,-68.621,46.925,22.091,-43.116,28.322,15.774,-14.271,29.987,17.909,8.841,52.413,23.463,14.945,33.292,8.814,-36.483,22.198,31.705,-25.237,22.273,36.395,-44.619,-5.974,35.759,-29.947,-3.627,51.756,-11.882,-4.639,30.451,-48.836,-38.921,16.97,-26.529,-31.384,35.135,-1.211,-36.521,17.114,-26.631,-36.165,27.9,-25.82,-38.973,32.123,-25.114,-49.553,30.073,-23.067,-75.865,17.478
bs048,N,bs048_N_N_3.lm3,-71.704,15.014,0.597,-65.824,33.092,16.641,-41.613,14.375,8.62,-11.349,15.788,9.328,9.55,37.844,19.348,16.681,19.792,5.411,-33.496,5.372,28.282,-22.234,6.1,30.455,-42.63,-21.805,25.409,-27.142,-21.323,44.978,-9.65,-21.096,22.941,-45.397,-54.79,9.884,-24.4,-47.045,29.217,0.228,-51.562,12.015,-23.768,-50.98,26.6,-24.011,-53.546,20.807,-22.343,-63.918,23.874,-20.783,-89.727,9.932
bs049,N,bs049_N_N_0.lm3,-61.982,7.991,-33.847,-59.387,28.68,-25.273,-32.747,3.973,-24.684,10.575,7.364,-20.601,31.102,35.931,-18.74,38.596,10.489,-29.893,-18.891,-2.792,-18.129,-5.81,-2.099,-12.314,-30.365,-33.147,-22.333,-11.38,-27.019,5.57,9.9,-31.83,-9.022,-33.455,-67.497,-26.203,-11.653,-57.349,-7.914,13.928,-68.1,-24.079,-10.763,-66.752,-12.666,-10.708,-69.12,-14.095,-10.588,-80.572,-13.915,-10.498,-106.466,-29.78
bs049,N,bs049_N_N_1.lm3,-65.029,1.616,-29.251,-60.765,25.549,-15.903,-32.836,0.198,-14.506,9.357,3.467,-11.098,28.439,32.897,-9.03,38.997,8.037,-21.968,-17.494,-7.236,-5.235,-5.963,-6.424,-2.565,-29.347,-35.635,-3.807,-10.82,-29.841,15.168,11.129,-35.624,-7.729,-34.253,-71.776,-18.729,-11.741,-62.248,0.539,15.977,-69.74,-14.515,-10.959,-69.996,-1.706,-10.153,-73.17,-5.143,-10.059,-83.916,-4.718,-8.422,-110.587,-19.742
bs049,N,bs049_N_N_2.lm3,-70.717,11.4,40.42,-64.333,32.955,52.652,-40.654,7.052,49.671,3.575,10.167,52.737,24.604,39.539,58.12,33.158,13.906,44.884,-24.157,0.697,62.228,-11.756,1.583,63.098,-36.675,-28.784,58.359,-17.245,-21.583,81.522,2.371,-27.827,65.488,-40.456,-66.879,50.154,-18.747,-54.855,68.861,6.703,-63.623,54.057,-18.124,-63.84,64.289,-18.157,-66.107,62.987,-17.49,-77.243,60.799,-17.46,-104.859,44.686
bs049,N,bs049_N_N_3.lm3,-77.941,1.539,23.58,-70.671,25.636,39.045,-47.429,-1.033,33.288,-4.127,1.998,42.987,17.868,31.808,43.624,26.443,5.732,35.859,-32.097,-6.875,46.763,-21.622,-7.588,52.42,-44.687,-38.895,46.921,-27.101,-30.675,68.505,-4.692,-38.654,50.383,-48.597,-74.306,35.918,-25.747,-64.848,57.865,-0.002,-74.639,41.597,-26.536,-71.628,55.38,-25.937,-74.899,49.454,-25.032,-86.888,48.539,-23.082,-114.042,34.389
bs050,N,bs050_N_N_0.lm3,-34.245,26.411,45.646,-26.471,40.846,64.619,-6.058,25.606,53.387,27.835,27.076,55.415,48.078,44.001,66.12,56.039,28.78,47.391,4.938,16.246,75.105,16.463,17.63,77.614,-6.694,-14.011,58.446,11.711,-17.888,88.917,27.868,-12.14,69.779,-11.063,-43.153,47.654,11.791,-36.488,65.686,37.884,-40.945,47.544,12.58,-42.513,60.005,12.548,-45.437,59.983,13.275,-54.973,60.381,14.3,-81.157,53.537
bs050,N,bs050_N_N_1.lm3,-34.6,26.145,52.01,-27.559,37.531,69.406,-6.562,22.424,58.871,26.532,23.198,58.716,45.953,40.028,71.818,56.272,24.855,49.595,3.615,13.874,78.188,16.643,13.757,80.158,-7.837,-15.605,65.114,10.557,-22.296,91.98,27.492,-14.874,61.396,-13.689,-46.191,50.029,9.807,-41.112,67.747,35.893,-44.809,49.379,9.797,-46.335,64.112,9.829,-48.643,61.132,9.866,-58.117,62.757,12.386,-85.808,54.805
bs050,N,bs050_N_N_2.lm3,-50.601,29.278,30.423,-44.141,45.694,47.141,-21.354,28.026,38.313,12.101,30.33,36.638,32.634,48.748,46.446,41.459,31.102,25.681,-9.894,19.0,59.609,3.401,18.999,61.154,-20.196,-9.848,50.715,-2.38,-12.213,74.457,14.543,-6.81,41.815,-27.051,-39.882,36.329,-3.197,-32.65,52.225,23.701,-37.731,33.706,-2.524,-38.676,49.582,-2.552,-41.045,45.102,-1.067,-50.699,47.889,0.798,-81.517,39.934
bs050,N,bs050_N_N_3.lm3,-52.853,24.828,31.241,-46.221,41.917,50.254,-24.21,25.753,41.514,9.129,27.293,44.175,30.181,45.533,53.791,38.976,29.587,35.931,-14.34,16.804,63.495,-0.972,17.568,65.715,-23.825,-12.645,54.351,-6.591,-15.688,79.613,10.799,-11.255,49.774,-27.78,-45.078,39.373,-4.56,-36.984,57.495,21.16,-41.94,40.816,-3.915,-42.229,53.473,-3.95,-45.296,51.671,-3.174,-54.174,53.467,0.819,-83.275,45.185
bs051,N,bs051_N_N_0.lm3,-50.279,9.115,-20.789,-40.607,26.798,-3.158,-17.754,8.557,-17.83,9.305,6.276,-19.652,36.722,25.647,-8.08,41.883,7.042,-23.427,-8.375,-1.253,6.52,2.281,-1.176,6.297,-21.976,-31.264,-3.955,-4.994,-31.948,25.747,12.438,-32.016,-6.848,-31.98,-61.816,-11.219,-5.805,-56.972,6.854,20.381,-64.694,-15.362,-5.812,-62.438,4.23,-5.864,-64.178,-2.21,-5.814,-74.717,1.747,-7.131,-104.243,-3.56
bs051,N,bs051_N_N_1.lm3,-63.277,5.258,-19.911,-57.14,19.069,-3.594,-31.365,3.747,-17.777,-2.884,2.936,-17.676,20.003,20.179,-1.181,28.807,4.245,-19.923,-23.191,-5.216,6.722,-13.372,-5.188,8.528,-35.415,-35.038,-0.344,-20.524,-37.167,26.142,-1.665,-35.695,0.282,-44.387,-68.154,-17.13,-19.252,-62.341,6.783,9.83,-67.524,-12.113,-19.482,-68.576,1.952,-19.506,-70.312,-2.059,-19.402,-79.404,0.516,-19.873,-108.953,-5.691
bs051,N,bs051_N_N_2.lm3,-66.782,8.849,-8.947,-60.848,24.883,6.9,-34.413,8.246,-5.028,-6.987,5.998,-5.097,18.822,25.893,8.946,26.097,6.938,-9.551,-27.074,-2.176,19.417,-16.578,-2.227,21.107,-37.554,-29.545,18.016,-24.298,-31.713,39.132,-5.763,-31.795,17.569,-48.081,-62.018,2.689,-24.755,-57.236,21.332,4.125,-64.343,0.543,-24.746,-63.492,17.414,-23.968,-65.256,13.435,-24.639,-75.07,13.829,-24.506,-104.189,9.735
bs051,N,bs051_N_N_3.lm3,-68.419,8.3,-10.84,-61.69,24.38,4.6,-36.887,7.701,-8.49,-10.121,6.212,-7.154,16.621,23.897,6.388,22.998,7.25,-13.247,-29.353,-2.775,16.245,-18.838,-2.82,16.803,-40.744,-32.47,12.418,-27.281,-33.912,34.598,-8.042,-33.177,10.752,-49.741,-62.771,-2.493,-25.53,-58.832,15.552,1.774,-64.219,-4.106,-25.493,-64.34,12.197,-26.325,-66.862,7.76,-26.254,-76.626,8.872,-26.92,-106.014,2.023
bs052,N,bs052_N_N_0.lm3,-57.827,31.948,31.161,-59.051,51.469,40.776,-29.243,31.443,38.184,4.214,33.819,39.538,33.772,56.035,43.37,34.722,35.935,31.36,-18.633,33.522,50.604,-6.078,32.77,50.85,-26.512,-4.07,53.015,-11.721,-1.639,72.745,2.874,-3.879,56.216,-31.219,-34.84,38.52,-10.955,-27.769,54.078,8.576,-33.296,40.421,-11.019,-33.017,49.01,-11.061,-34.504,47.889,-10.997,-42.555,50.374,-10.973,-71.406,40.587
bs052,N,bs052_N_N_1.lm3,-58.702,30.131,74.552,-58.021,51.661,80.766,-30.28,29.217,78.427,5.97,30.128,75.969,33.262,50.498,80.83,33.64,30.136,68.749,-18.433,33.57,89.024,-5.513,34.388,88.62,-26.932,-6.79,94.538,-12.251,-4.283,112.923,1.08,-7.962,97.006,-34.226,-36.598,80.424,-13.675,-29.602,96.461,6.268,-37.202,78.086,-13.785,-34.734,92.849,-13.853,-37.025,89.392,-13.9,-46.976,92.329,-13.819,-76.279,82.909
bs052,N,bs052_N_N_2.lm3,-70.371,37.222,55.592,-70.832,56.878,63.881,-42.078,35.759,63.074,-7.139,38.754,63.986,20.591,59.719,69.829,21.408,40.264,59.03,-32.327,41.385,73.525,-20.696,41.343,76.892,-39.229,2.176,79.068,-26.564,4.6,97.887,-11.115,1.622,82.78,-44.184,-29.381,61.894,-25.514,-22.414,80.052,-2.26,-28.605,65.109,-25.551,-27.639,74.073,-25.54,-29.094,73.929,-25.516,-38.479,75.516,-24.175,-68.959,64.002
bs052,N,bs052_N_N_3.lm3,-69.859,27.568,68.597,-68.147,47.855,78.686,-39.722,26.109,75.675,-4.889,29.117,75.946,22.49,51.669,80.617,24.182,30.601,69.97,-30.779,34.114,86.158,-18.424,34.045,89.393,-37.683,-8.567,91.068,-23.496,-6.573,111.256,-8.965,-8.304,97.405,-42.201,-40.588,78.0,-22.333,-32.062,94.834,-3.206,-38.99,77.81,-22.49,-37.22,89.393,-22.547,-39.419,88.289,-22.503,-48.682,90.853,-21.922,-78.858,79.875
bs053,N,bs053_N_N_0.lm3,-51.117,21.668,-31.452,-49.114,45.568,-20.608,-23.508,23.281,-23.154,4.212,25.414,-17.932,26.474,52.61,-16.077,32.772,29.525,-22.053,-15.981,29.417,-11.261,-5.986,30.802,-7.153,-22.302,-11.274,2.561,-8.717,-8.813,19.947,6.636,-8.104,1.886,-28.677,-41.744,-19.281,-5.996,-33.428,0.728,19.294,-39.237,-16.611,-6.128,-38.94,-5.475,-6.113,-40.409,-4.027,-5.274,-47.954,-1.169,-3.775,-73.063,-13.568
bs053,N,bs053_N_N_1.lm3,-51.732,13.512,3.214,-47.816,36.97,14.342,-24.911,15.116,8.207,5.136,16.598,11.368,22.464,39.281,18.753,31.735,18.086,10.99,-15.767,18.822,23.323,-5.452,19.584,25.623,-22.94,-20.021,34.216,-9.343,-14.498,52.55,5.477,-17.68,35.443,-29.283,-50.731,15.895,-7.992,-41.613,33.442,17.511,-49.101,15.49,-7.952,-46.251,28.485,-7.986,-48.546,27.741,-7.181,-55.926,32.705,-7.159,-84.793,17.718
bs053,N,bs053_N_N_2.lm3,-65.885,10.413,-0.388,-64.113,31.757,9.891,-38.875,10.55,6.812,-10.111,12.01,8.287,8.568,36.331,17.675,17.217,15.105,7.864,-31.888,12.826,16.619,-19.058,12.765,20.707,-38.274,-25.509,27.361,-25.116,-23.508,46.966,-10.538,-23.712,32.588,-44.223,-55.669,7.821,-21.807,-47.968,25.889,1.484,-52.261,13.219,-22.033,-53.689,19.822,-21.852,-55.594,25.143,-21.846,-63.168,24.128,-20.312,-89.121,7.881
bs053,N,bs053_N_N_3.lm3,-71.556,0.902,27.596,-68.16,23.358,36.863,-44.184,0.449,32.101,-15.733,1.89,35.468,2.071,27.263,43.966,10.951,4.096,32.875,-36.19,1.181,49.344,-23.675,1.276,48.953,-43.554,-35.743,51.846,-30.406,-32.763,72.25,-15.286,-34.813,55.97,-49.293,-65.537,31.87,-28.665,-58.82,49.129,-4.423,-63.913,34.086,-27.912,-63.294,47.821,-27.166,-65.455,48.109,-26.44,-72.751,49.071,-27.382,-97.787,32.514
bs054,N,bs054_N_N_0.lm3,-62.181,38.942,46.657,-58.863,58.467,59.434,-28.699,38.939,52.726,-1.44,38.874,51.63,25.558,60.116,59.492,32.527,39.192,44.73,-21.703,31.153,73.12,-9.944,31.195,79.301,-30.07,1.46,78.427,-13.304,-2.625,98.887,3.104,1.644,67.837,-39.348,-31.628,60.51,-13.427,-25.268,77.699,13.678,-29.303,59.939,-13.481,-29.769,73.205,-12.764,-32.761,70.587,-12.706,-42.31,71.421,-12.777,-73.388,63.451
bs054,N,bs054_N_N_1.lm3,-57.945,38.481,47.045,-53.857,57.915,61.035,-24.532,35.493,54.372,2.75,36.183,53.516,32.564,56.721,60.059,35.293,36.364,47.213,-16.697,26.36,78.826,-5.131,26.445,80.911,-26.784,-1.929,76.316,-10.631,-6.638,98.555,7.269,-1.782,63.891,-35.089,-32.792,62.501,-10.058,-27.938,77.111,15.642,-32.009,59.813,-10.065,-31.662,74.794,-9.336,-34.071,68.804,-9.276,-42.852,70.499,-9.309,-71.661,63.247
bs054,N,bs054_N_N_2.lm3,-68.399,42.709,30.381,-64.305,62.765,41.468,-35.222,41.376,36.733,-7.774,39.96,35.081,20.356,60.68,43.243,24.237,40.027,33.529,-27.431,30.071,61.695,-15.66,29.954,63.907,-37.617,3.633,59.216,-20.169,1.522,82.089,-4.45,2.34,62.891,-45.939,-27.785,45.879,-22.695,-23.598,59.437,3.508,-27.03,42.915,-21.97,-26.65,57.961,-20.52,-29.848,51.973,-21.262,-39.23,53.716,-20.554,-67.829,46.717
bs054,N,bs054_N_N_3.lm3,-67.827,44.992,33.026,-63.221,63.573,38.123,-34.002,42.857,35.523,-5.893,42.253,29.451,20.816,63.747,39.824,26.386,41.578,25.855,-26.238,33.775,59.778,-13.741,33.688,61.405,-35.414,5.8,64.106,-18.283,4.412,80.978,-2.592,5.001,48.267,-44.725,-27.038,45.083,-20.045,-19.866,60.542,4.747,-25.569,41.709,-18.573,-25.359,53.65,-18.552,-27.593,53.361,-18.495,-36.277,55.217,-18.548,-66.198,49.654
bs055,N,bs055_N_N_0.lm3,-57.097,3.58,40.0,-46.803,16.288,58.218,-30.253,2.295,43.903,8.243,2.315,43.313,28.103,17.89,54.994,35.126,3.076,36.387,-15.125,-6.295,68.279,-2.721,-5.486,68.266,-26.77,-31.426,60.771,-7.524,-35.737,82.08,9.838,-31.703,49.107,-33.548,-65.73,51.552,-9.053,-59.199,65.278,15.167,-65.15,47.636,-9.065,-65.127,62.749,-9.091,-67.465,60.023,-8.301,-74.484,64.246,-7.467,-105.876,55.347
